Date,Price,Open,High,Low,Vol.,Change %
06/27/2021,344.9,340.8,347.4,337.55,104.83M,0.0155
06/20/2021,339.65,330.9,344.3,326.2,119.58M,0.0067
06/13/2021,337.4,350.05,360.75,329,180.24M,-3.81%
06/06/2021,350.75,339.75,358.9,337.5,229.22M,0.0472
05/30/2021,334.95,318.7,336.9,312.1,152.52M,0.0508
05/23/2021,318.75,314.75,324.5,310.2,174.09M,0.018
05/16/2021,313.1,315.4,336.65,306.1,351.12M,0.0027
05/09/2021,312.25,304.5,334.75,304,304.62M,0.0314
05/02/2021,302.75,289.3,305.95,285,189.99M,0.0303
04/25/2021,293.85,297,310,292.55,183.06M,-0.05%
04/18/2021,294,295,308.15,290.5,241.71M,-5.16%
04/11/2021,310,307.85,315,280.55,372.81M,-2.58%
04/04/2021,318.2,306.8,325,297.2,306.21M,0.034
03/28/2021,307.75,300.5,309.85,292.7,147.92M,0.0383
03/21/2021,296.4,306.45,312.25,282.25,343.60M,-4.06%
03/14/2021,308.95,320,321.9,290.2,315.28M,-2.71%
03/07/2021,317.55,331.75,331.75,309.6,263.63M,-2.34%
02/28/2021,325.15,330,357,319.7,427.51M,0.0068
02/21/2021,322.95,312.45,334.7,302.15,398.27M,0.0356
02/14/2021,311.85,329.9,337.9,301.4,326.25M,-4.16%
02/07/2021,325.4,318.75,339.25,318,420.92M,0.0301
01/31/2021,315.9,269.75,341.9,255.35,866.36M,0.2025
01/24/2021,262.7,296.9,299.5,259.05,558.53M,-9.21%
01/17/2021,289.35,261.65,306.9,241.15,1.12B,0.1116
01/10/2021,260.3,199.9,264.65,199.65,1.07B,0.3137
01/03/2021,198.15,191.8,201.5,185.05,335.37M,0.0625
12/27/2020,186.5,179.85,188.45,179,284.22M,0.06
12/20/2020,175.95,176,178,156.7,316.35M,-2.55%
12/13/2020,180.55,181,184,173.25,205.80M,0.0095
12/06/2020,178.85,184.45,186.45,176.4,193.68M,-2.88%
11/29/2020,184.15,182.35,188.8,178.1,218.32M,0.0211
11/22/2020,180.35,169.5,183.85,165.55,321.65M,0.0665
11/15/2020,169.1,148.7,178.8,148,442.58M,0.1554
11/08/2020,146.35,140.6,153.85,138.7,276.37M,0.0529
11/01/2020,139,133.65,142.3,131.1,244.03M,0.0479
10/25/2020,132.65,138.4,143.25,130,415.52M,-3.18%
10/18/2020,137,129.8,138.9,126.35,217.41M,0.0724
10/11/2020,127.75,139.65,139.65,126,250.60M,-7.73%
10/04/2020,138.45,136.95,145.8,132.05,363.63M,0.0371
09/27/2020,133.5,128.9,136.5,127.5,214.55M,0.0491
09/20/2020,127.25,147.75,147.75,122.15,354.48M,-13.96%
09/13/2020,147.9,147.2,154.3,145.5,306.84M,0.0249
09/06/2020,144.3,150,152,135.7,409.02M,-2.37%
08/30/2020,147.8,144.5,155.2,138.2,500.05M,0.035
08/23/2020,142.8,122,146.85,120.8,595.66M,0.1811
